VITAL EVENTS REGISTERED FROM 1971 TO 2016,,,,,,,,
,,,,,,,,
,,,,,,,,
,Number of vital events registered,,,Vital rates,,"Percentage of CRS
rates to SRS rates",,
8,CHAMARAJANAGAR,6795,11.99,1722,8.1,20,54,10.36
9,CHICKBALLAPUR,14527,17.9,2135,5.95,60,20,1.74
10,CHIKMAGALUR,12409,23.91,2085,8.2,193,26,2.68
11,CHITRADURGA,18847,16.51,3302,6.65,248,88,7.44
12,DAKSHINA KANNADA,35027,13.81,12044,4.61,589,274,8.12
13,DAVANAGERE,30788,21.16,6231,7.26,1138,435,13.16
14,DHARWAD,33896,19.64,10655,7.36,901,157,5.1
15,GADAG,15026,15.67,4115,6.95,345,245,12.27
16,GULBARGA,47107,27.5,5526,4.9,459,80,1.33
17,HASSAN,21205,20.31,4255,6.72,304,36,3.37
18,HAVERI,18454,16.13,3018,5.79,307,240,12.1
19,KODAGU,4968,27.8,880,6.17,57,2,2.13
20,KOLAR,18251,23.98,3699,4.22,171,109,8.57
21,KOPPAL,19956,19.73,2129,6.33,51,83,6.71
22,MANDYA,15615,14.99,3287,6.28,209,12,2.88
23,MYSORE,50055,20.01,16072,6.75,1404,16,0.46
24,RAICHUR,21144,19.4,3929,5.2,506,4,0.39
25,RAMANAGAR,7700,12.85,1764,5.43,31,14,2.06
26,SHIMOGA,30940,17.88,6558,5.57,472,294,4.6
27,TUMKUR,34417,16.35,5802,6.17,253,91,6.31
28,UDUPI,15145,13.06,4090,3.79,163,104,8.61
29,UTTARA KANNADA,21761,20.61,3155,5.1,140,148,9.58
30,YADGIR,11604,23,1564,5.84,35,0,0.67
,STATE,876918,17.5,202883,5.72,10852,4120,4.41
,,,,,,,,
,,,,1,,,,
"DISTRICTWISE REGISTERED BIRTHS, DEATHS, INFANT DEATHS,
STILL BIRTHS AND RATES RURAL-2016",,,,,,,,
,,Birth,,Death,,,Still Birth,
Sl. No,District,Registered,Rate,Registered,Rate,"Registered
Infant Death",Registered,Rate
1,BAGALKOTE,7392,21.69,5765,5.27,18,10,2.84
2,BANGALORE (R),2023,8.93,4277,5.75,12,5,0.44
3,BANGALORE (U),8884,9.31,6047,5.94,114,6,1.62
4,BELGAUM,28765,17.68,20919,6.65,94,38,4.97
5,BELLARY,16833,20.16,8266,5.71,36,28,2.18
6,BIDAR,15938,22.63,5860,4.99,55,13,6.23
7,BIJAPUR,19500,21.38,8342,5.27,28,45,1.2
8,CHAMARAJANAGAR,4307,12.28,5788,7.35,33,4,2.45
9,CHICKBALLAPUR,2469,11.71,4910,5.14,10,10,1.62
10,CHIKMAGALUR,2596,11.59,4526,5.85,52,1,3.29
11,CHITRADURGA,5926,13.18,7240,5.95,95,13,2.85
12,DAKSHINA KANNADA,6356,18.61,5268,9.7,79,14,5.01
13,DAVANAGERE,3972,19.14,8221,7.27,20,3,11.7
14,DHARWAD,3468,21.14,5303,8.83,66,17,3.03
15,GADAG,4432,15.5,5138,8.92,39,6,11.65
16,GULBARGA,16600,21.72,8288,4.87,26,3,1.59
17,HASSAN,4247,11.19,10280,8.27,7,5,0.32
18,HAVERI,7999,15.08,6726,5.85,40,24,9.55
19,KODAGU,3211,14.21,2470,6.15,8,18,2.52
20,KOLAR,6363,9.76,2892,3.94,7,11,0.93
21,KOPPAL,8866,18.98,6096,5.35,46,2,2.9
22,MANDYA,4334,10.53,7806,6.19,9,1,0.57
23,MYSORE,4594,11.84,14334,11.02,13,1,0.47
24,RAICHUR,7758,11.77,5938,4.63,31,1,0.22
25,RAMANAGAR,2515,9.13,6024,7.64,12,2,0.94
26,SHIMOGA,2813,14.43,5697,6.99,53,4,10.63
27,TUMKUR,5525,12.2,17643,9.33,125,34,1.89
28,UDUPI,4211,16.85,5905,10.29,12,0,3.21
29,UTTARA KANNADA,4175,13.59,6773,7.27,53,25,5.45
30,YADGIR,14268,19.47,5149,5.08,7,13,0.73
,STATE,230340,15.67,217891,6.68,1200,357,3.62
,,,,,,,,
,,,,,,,,
"DISTRICTWISE REGISTERED BIRTHS, DEATHS, INFANT DEATHS,
STILL BIRTHS AND RATES URBAN & RURAL-2016",,,,,,,,
,,Birth,,Death,,,Still Birth,
"Sl.
No",District,Registered,Rate,Registered,Rate,"Registered
Infant Death",Registered,Rate
1,BAGALKOTE,47401,21.76,11546,5.72,309,190,3.4
2,BANGALORE (R),10697,11.61,6044,5.7,32,38,3.02
3,BANGALORE (U),160161,13.61,62805,5.27,1018,271,1.83
4,BELGAUM,94861,18.33,34234,6.62,708,585,6.19
5,BELLARY,55388,20.3,16637,5.87,461,191,3.43
6,BIDAR,47339,24.7,9856,5.27,311,366,7.14
7,BIJAPUR,54769,22.47,13220,5.48,314,92,1.74
8,CHAMARAJANAGAR,11102,12.23,7510,7.49,53,58,3.87
9,CHICKBALLAPUR,16996,13.21,7045,5.34,70,30,1.66
10,CHIKMAGALUR,15005,14.28,6611,6.37,245,27,3.07
11,CHITRADURGA,24773,13.88,10542,6.1,343,101,4
12,DAKSHINA KANNADA,41383,16.08,17312,7.02,668,288,6.42
13,DAVANAGERE,34760,19.81,14452,7.27,1158,438,12.22
14,DHARWAD,37364,20.27,15958,7.98,967,174,4.19
15,GADAG,19458,15.56,9253,8.21,384,251,11.88
16,GULBARGA,63707,23.62,13814,4.88,485,83,1.49
17,HASSAN,25452,13.31,14535,7.91,311,41,1.41
18,HAVERI,26453,15.32,9744,5.84,347,264,10.17
19,KODAGU,8179,16.26,3350,6.15,65,20,2.42
20,KOLAR,24614,14.37,6591,4.03,178,120,5.08
21,KOPPAL,28822,19.1,8225,5.52,97,85,3.57
22,MANDYA,19949,11.32,11093,6.21,218,13,1.11
23,MYSORE,54649,15.43,30406,9.15,1417,17,0.46
24,RAICHUR,28902,13.72,9867,4.78,537,5,0.28
25,RAMANAGAR,10215,10.13,7788,7.04,43,16,1.32
26,SHIMOGA,33753,15.67,12255,6.48,525,298,8.16
27,TUMKUR,39942,13.19,23445,8.58,378,125,3.2
28,UDUPI,19356,15.54,9995,8.03,175,104,4.79
29,UTTARA KANNADA,25936,15.65,9928,6.63,193,173,7.05
30,YADGIR,25872,20.17,6713,5.23,42,13,0.72
,STATE,1107258,16.42,420774,6.28,12052,4477,3.97
,,,,,,,,
"Table A-1: Population, Registration Units, Monthly Returns Due and Received (Rural Areas)-2016",,,,,,,,
,,,,,,,,
,,,,,,,,
,,"Population as per last census-
2011",,,,,"Estimated Mid year
Population",
"Sl.
No",Districts,Actual,"Adjusted for
incomplete
receipt of
returns","No.of
Registration
Units","No.of Monthly
Returns due","No.of
Monthly
Returns
not
received",Total,"Adjusted for
incomplete
receipt of
returns"
1,Bagalkote,1291906,1291906,643,7716,0,1359958,1359958
2,Bangalore(R),722179,722179,974,11688,0,758547,758547
3,Bangalore(U),871607,871607,614,7368,0,926611,926611
4,Belgaum,3568466,3568466,1155,13860,0,3780925,3780925
5,Bellary,1532356,1532356,602,7224,0,1659079,1659079
6,Bidar,1277348,1277348,681,8172,0,1346275,1346275
7,Bijapur,1675353,1675353,737,8844,0,1836187,1836187
8,Chamarajanagar,845817,845817,567,6804,0,861393,861393
9,Chickballapur,973985,973985,1515,18180,0,999448,999448
10,Chikmagalur,898453,898453,1126,13512,0,888104,888104
11,Chitradurga,1329923,1329923,1154,13848,0,1378360,1378360
12,Dakshina Kannada,1093563,1093563,429,5148,0,1055610,1055610
13,Davanagere,1316487,1316487,803,9636,0,1354571,1354571
14,Dharwad,797484,797484,376,4512,0,840717,840717
15,Gadag,685261,685261,313,3756,0,716906,716906
16,Gulbarga,1730775,1730775,944,11328,0,1877991,1877991
17,Hassan,1399658,1399658,3373,40476,0,1390496,1390496
18,Haveri,1242167,1242167,774,9288,0,1300301,1300301
19,Kodagu,473531,473531,330,3960,0,473719,473719
20,Kolar,1056328,1056328,1869,22428,0,1097916,1097916
21,Koppal,1156216,1156216,672,8064,0,1250767,1250767
22,Mandya,1497407,1497407,1610,19320,0,1506239,1506239
23,Mysore,1755714,1755714,1350,16200,0,1809648,1809648
24,Raichur,1438464,1438464,885,10620,0,1551070,1551070
25,Ramanagar,814877,814877,823,9876,0,814553,814553
26,Shimoga,1129026,1129026,1530,18360,0,1160944,1160944
27,Tumkur,2079902,2079902,2709,32508,0,2081180,2081180
28,Udupi,843300,843300,317,3804,0,811701,811701
29,Uttara Kannada,1018188,1018188,1307,15684,0,1047326,1047326
30,Yadgir,953594,953594,458,5496,0,1052081,1052081
,Total,37469335,37469335,30640,367680,0,38988623,38988623
,,,,,,,,
"Table A-2: Population, Registration Units, Monthly Returns Due and Received(Urban Areas) - 2016",,,,,,,,
,,,,,,,,
,,"Population as per last census-
2011",,,,,"Estimated Mid year
Population",
"Sl.
No",Districts,Actual,"Adjusted for
incomplete
receipt of
returns","No.of
Registration
Units","No.of Monthly
Returns due","No.of
Monthly
Returns
not
received",Total,"Adjusted for
incomplete
receipt of
returns"
1,Bagalkote,597846,597846,31,372,0,673234,673234
2,Bangalore(R),268744,268744,5,60,0,321245,321245
3,Bangalore(U),8749944,8749944,73,876,0,10936202,10936202
4,Belgaum,1211195,1211195,34,408,0,1332542,1332542
5,Bellary,920239,920239,52,624,0,1059295,1059295
6,Bidar,425952,425952,15,180,0,476733,476733
7,Bijapur,501978,501978,26,312,0,569600,569600
8,Chamarajanagar,174974,174974,10,120,0,191258,191258
9,Chickballapur,281119,281119,6,72,0,319602,319602
10,Chikmagalur,239508,239508,18,216,0,248972,248972
11,Chitradurga,329533,329533,14,168,0,363455,363455
12,Dakshina Kannada,996086,996086,27,324,0,1176297,1176297
13,Davanagere,629010,629010,9,108,0,680333,680333
14,Dharwad,1049539,1049539,30,360,0,1151622,1151622
15,Gadag,379309,379309,13,156,0,400734,400734
16,Gulbarga,835551,835551,34,408,0,925676,925676
17,Hassan,376763,376763,16,192,0,421957,421957
18,Haveri,355501,355501,19,228,0,389873,389873
19,Kodagu,80988,80988,8,96,0,84147,84147
20,Kolar,480073,480073,16,192,0,526002,526002
21,Koppal,233704,233704,19,228,0,255113,255113
22,Mandya,308362,308362,14,168,0,322981,322981
23,Mysore,1245413,1245413,17,204,0,1413623,1413623
24,Raichur,490348,490348,21,252,0,532009,532009
25,Ramanagar,267759,267759,5,60,0,300965,300965
26,Shimoga,623727,623727,31,372,0,653810,653810
27,Tumkur,599078,599078,10,120,0,654713,654713
28,Udupi,334061,334061,11,132,0,431943,431943
29,Uttara Kannada,418981,418981,12,144,0,436559,436559
30,Yadgir,220677,220677,14,168,0,259335,259335
,Total,23625962,23625962,610,7320,0,27509829,27509829
