VITAL EVENTS REGISTERED FROM 1971 TO 2015,,,,,,,,
,,,,,,,,
,Number of vital events registered,,,Vital rates,,"Percentage of CRS
rates to SRS rates",,
11,CHITRADURGA,5586,14.27,7264,5.83,78,30,5.68
12,DAKSHINA KANNADA,7379,16.13,5883,8.18,54,11,7.29
13,DAVANAGERE,3994,20.08,7820,7.62,129,12,9.83
14,DHARWAD,2855,21.37,4362,7.72,100,7,18.27
15,GADAG,4219,16.17,4709,8.13,49,7,18.09
16,GULBARGA,12882,21.36,7626,5.48,24,0,0.56
17,HASSAN,4107,12.04,7533,6.36,30,1,1.07
18,HAVERI,6746,15.35,6455,5.71,32,16,13.7
19,KODAGU,3105,13.84,2361,6.36,1,5,1.68
20,KOLAR,5849,10.98,2441,2.93,10,8,0.92
21,KOPPAL,11229,21.03,5340,5.46,31,0,1.52
22,MANDYA,3970,11.78,7336,5.76,28,0,0.63
23,MYSORE,3903,11.29,9436,6.65,63,0,2.02
24,RAICHUR,8236,16.07,4870,5.25,94,2,3.82
25,RAMANAGAR,3882,10.18,5521,7.04,18,1,1.45
26,SHIMOGA,2273,15.03,5535,6.62,140,9,8.87
27,TUMKUR,5227,12.52,16571,9.69,51,11,2.25
28,UDUPI,3817,17.74,6204,10.68,18,7,7.58
29,UTTARA KANNADA,4419,17.09,6226,7.49,83,16,5.78
30,YADGIR,8527,14.4,4414,5.99,22,0,0.59
,STATE,215565,16.14,197696,6.37,1741,513,5.36
,,,,,,,,
,,,,,,,,
"DISTRICTWISE REGISTERED BIRTHS, DEATHS, INFANT DEATHS,STILL BIRTHS AND RATES URBAN & RURAL-2015",,,,,,,,
,,Birth,,Death,,,Still Birth,
"Sl.
No",District,Registered,Rate,Registered,Rate,"Registered
Infant Death",Registered,Rate
1,BAGALKOTE,48851,21.13,11041,5.51,601,367,6.25
2,BANGALORE (R),8965,10.49,5740,5.69,77,45,4.31
3,BANGALORE (U),159272,14.02,61696,5.35,1999,283,1.71
4,BELGAUM,89019,17.31,31672,6.16,938,590,7.31
5,BELLARY,54056,20.92,16627,6.25,1027,366,6.85
6,BIDAR,36576,21.19,9753,5.74,490,203,5.29
7,BIJAPUR,52268,21.89,13080,5.53,613,231,4.45
8,CHAMARAJANAGAR,10395,11.46,7377,7.61,54,88,6.75
9,CHICKBALLAPUR,15039,11.03,6706,5.21,57,32,2.08
10,CHIKMAGALUR,15549,13.95,5992,5.8,277,36,3.66
11,CHITRADURGA,23741,14.69,10588,6.22,343,143,5.72
12,DAKSHINA KANNADA,39521,15.29,16282,6.06,667,306,6.92
13,DAVANAGERE,35424,19.57,14647,7.47,1510,302,8.56
14,DHARWAD,38980,20.97,14556,7.29,1458,562,11.09
15,GADAG,20007,15.06,8758,7.74,355,235,15.29
16,GULBARGA,58595,23.61,13338,5.46,540,154,3.08
17,HASSAN,25224,15.09,11256,6.44,375,16,1.03
18,HAVERI,24075,15.33,9164,5.61,324,258,11.9
19,KODAGU,7971,14.61,3282,6.21,104,11,1.84
20,KOLAR,23748,15.05,5708,3.56,302,66,2.77
21,KOPPAL,26978,20.66,7152,5.43,75,0,1.51
22,MANDYA,20107,11.95,10240,6,279,19,0.65
23,MYSORE,47374,13.38,22704,6.59,1765,45,1.22
24,RAICHUR,25368,17.71,8755,5.42,445,106,3.77
25,RAMANAGAR,12036,11.19,7240,6.63,46,12,1.05
26,SHIMOGA,32992,14.5,12097,6.39,689,278,7.42
27,TUMKUR,36643,13.01,22582,8.74,378,55,1.83
28,UDUPI,18724,16.26,10027,8.43,252,115,6.25
29,UTTARA KANNADA,28806,18.07,9507,6.7,735,143,5.37
30,YADGIR,16944,16.21,6164,5.79,74,0,0.4
,STATE,1053248,16.44,393731,6.15,16849,5067,4.81
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Table A-1: Population, Registration Units, Monthly Returns Due and Received (Rural Areas)-2015",,,,,,,,
,,,,,,,,
,,Population as per last census-2011,,,,,"Estimated Mid year
Population",
"Sl.
No",Districts,Actual,"Adjusted for
incomplete
returns","No.of
Registration
Units","No.of Monthly
Returns due","No.of Monthly Returns
not received",Total,"Adjusted for
incomplete
returns"
1,Bagalkote,1291906,1291906,647,7764,0,1346933,1346933
2,Bangalore(R),722179,722179,974,11688,0,751593,751593
3,Bangalore(U),871607,871607,614,7368,0,916154,916154
4,Belgaum,3568466,3568466,1155,13860,0,3740169,3740169
5,Bellary,1532356,1532356,602,7224,0,1634552,1634552
6,Bidar,1277348,1193098,681,8172,539,1333079,1245153
7,Bijapur,1675353,1675353,721,8646,0,1804903,1804903
8,Chamarajanagar,845817,845817,567,6804,0,858479,858479
9,Chickballapur,973985,973985,1515,18180,0,994624,994624
10,Chikmagalur,898453,898453,1126,13512,0,890054,890054
11,Chitradurga,1329923,1329923,1154,13848,0,1369162,1369162
12,Dakshina Kannada,1093563,1093563,433,5196,0,1062637,1062637
13,Davanagere,1316487,1316487,803,9636,0,1347367,1347367
14,Dharwad,797484,797484,376,4512,0,832438,832438
15,Gadag,685261,685261,313,3756,0,710864,710864
16,Gulbarga,1730775,1412825,944,11328,2081,1849469,1509714
17,Hassan,1399658,1399658,3373,40476,0,1392209,1392209
18,Haveri,1242167,1242167,777,9324,0,1289200,1289200
19,Kodagu,473531,473531,330,3960,0,473697,473697
20,Kolar,1056328,1056328,1869,22428,0,1089998,1089998
21,Koppal,1156216,1059096,595,7143,600,1232471,1128946
22,Mandya,1497407,1468807,1610,19320,369,1504580,1475843
23,Mysore,1755714,1755714,1346,16152,0,1799450,1799450
24,Raichur,1438464,1026700,885,10620,3040,1529323,1091551
25,Ramanagar,814877,812154,823,9876,33,814616,811894
26,Shimoga,1129026,1129026,1487,17838,0,1154905,1154905
27,Tumkur,2079902,1914638,2709,32508,2583,2080952,1915605
28,Udupi,843300,843300,317,3804,0,817601,817601
29,Uttara Kannada,1018188,1018188,1307,15684,0,1041803,1041803
30,Yadgir,953594,766109,462,5544,1090,1032874,829802
,Total,37469335,36174180,30514,366171,10335,38696156,37327300
,,,,,,,,
,,,,,,,,
"Table A-2: Population, Registration Units, Monthly Returns Due and Received(Urban Areas) - 2015",,,,,,,,
,,,,,,,,
,,Population as per last census-2011,,,,,"Estimated Mid year
Population",
"Sl.
No",Districts,Actual,"Adjusted for
incomplete
returns","No.of Registration
Units","No.of Monthly
Returns due","No.of Monthly Returns
not received",Total,"Adjusted for
incomplete
returns"
1,Bagalkote,597846,597846,25,300,0,658439,658439
2,Bangalore(R),268744,268744,5,60,0,310684,310684
3,Bangalore(U),8749944,8749944,63,756,0,10488525,10488525
4,Belgaum,1211195,1211195,18,216,0,1308995,1308995
5,Bellary,920239,920239,42,504,0,1031796,1031796
6,Bidar,425952,425952,15,180,0,466786,466786
7,Bijapur,501978,501978,12,144,0,556307,556307
8,Chamarajanagar,174974,174974,10,120,0,188109,188109
9,Chickballapur,281119,281119,6,72,0,312029,312029
10,Chikmagalur,239508,239508,18,216,0,247221,247221
11,Chitradurga,329533,329533,12,144,0,356902,356902
12,Dakshina Kannada,996086,996086,23,276,0,1140210,1140210
13,Davanagere,629010,629010,8,96,0,670485,670485
14,Dharwad,1049539,1049539,30,360,0,1131884,1131884
15,Gadag,379309,379309,9,108,0,396662,396662
16,Gulbarga,835551,835551,34,408,0,908187,908187
17,Hassan,376763,376763,16,192,0,413141,413141
18,Haveri,355501,355501,17,204,0,383198,383198
19,Kodagu,80988,80988,8,96,0,83560,83560
20,Kolar,480073,480073,16,192,0,517078,517078
21,Koppal,233704,233704,9,108,0,250969,250969
22,Mandya,308362,308362,14,168,0,320225,320225
23,Mysore,1245413,1245413,17,204,0,1380535,1380535
24,Raichur,490348,490348,16,192,0,523980,523980
25,Ramanagar,267759,267759,4,48,0,294463,294463
26,Shimoga,623727,623727,25,294,0,648125,648125
27,Tumkur,599078,599078,10,120,0,644019,644019
28,Udupi,334061,334061,10,120,0,411628,411628
29,Uttara Kannada,418981,418981,11,132,0,433214,433214
30,Yadgir,220677,220677,10,120,0,251612,251612
,Total,23625962,23625962,513,6150,0,26728968,26728968
